Comment,Designator,Footprint,LCSC
"2.2uF","C103,C104","Capacitor_SMD:C_0402_1005Metric",""
"0.1uF","C105,C106,C102,C101,C402,C401,C303,C304,C302,C301,C405,C406,C404,C403","Capacitor_SMD:C_0402_1005Metric",""
"2.7nF","C305,C308,C307,C310,C313,C311,C407,C410,C409,C412,C415,C413","Capacitor_SMD:C_0402_1005Metric",""
"39nF","C306,C312,C408,C414","Capacitor_SMD:C_0402_1005Metric",""
"4.7nF","C309,C314,C411,C416","Capacitor_SMD:C_0402_1005Metric",""
"LED","D101,D401,D402,D403,D404,D405,D406,D407,D408,D409,D410","LED_SMD:LED_0805_2012Metric",""
"Conn_02x08_Odd_Even","J101","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical",""
"Conn_02x04_Counter_Clockwise","J102","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical",""
"220","R104","Resistor_SMD:R_0402_1005Metric",""
"7.5k","R106,R105","Resistor_SMD:R_0402_1005Metric",""
"10k","R109,R108,R101,R102,R103,R107,R112,R113,R119,R118,R116,R117,R114,R115,R401,R403,R402","Resistor_SMD:R_0402_1005Metric",""
"50k","R110,R111","Resistor_SMD:R_0402_1005Metric",""
"54.9K","R301,R302,R306,R308,R406,R407,R411,R413","Resistor_SMD:R_0402_1005Metric",""
"32.4k","R303,R307,R408,R412","Resistor_SMD:R_0402_1005Metric",""
"27.4K","R304,R309,R409,R414","Resistor_SMD:R_0402_1005Metric",""
"294k","R305,R310,R410,R415","Resistor_SMD:R_0402_1005Metric",""
"1.2k","R404","Resistor_SMD:R_0402_1005Metric",""
"3.8k","R405","Resistor_SMD:R_0402_1005Metric",""
"LP","RV101","sam:PTV112",""
"HP","RV102","sam:PTV112",""
"SEND","RV103","Potentiometer_THT:Potentiometer_Alps_RK09L_Double_Vertical",""
"FADER","RV104","sam:PTV112",""
"INPUT_GAIN","RV105","Potentiometer_THT:Potentiometer_Alps_RK09L_Double_Vertical",""
"SW_4PDT_x4","SW101","switch:MHPS4284",""
"TL074","U103,U102,U101,U401,U301,U302,U403","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
"LM3916","U402","Package_LCC:PLCC-20",""
